Name,\\pi3\LRSILOMKPSNa2O
Data Type,Float 32
Number of Values,99
Time,Value,Value Attributes
20-Jun-2023 12:13:21,232
19-Jun-2023 12:41:03,198
18-Jun-2023 13:52:38,155
18-Jun-2023 13:47:23,164
16-Jun-2023 12:40:59,142.69
15-Jun-2023 11:42:50,147
14-Jun-2023 14:10:03,277
12-Jun-2023 13:21:56,204
11-Jun-2023 09:38:00,217
11-Jun-2023 09:09:16,233
9-Jun-2023 12:56:49,239
8-Jun-2023 11:22:15,228
7-Jun-2023 08:57:12,193
6-Jun-2023 13:50:16,159
5-Jun-2023 14:55:06,148
4-Jun-2023 13:43:38,106
4-Jun-2023 13:31:12,116
2-Jun-2023 09:43:59,133
1-Jun-2023 11:33:55,159
29-May-2023 11:48:19,203
28-May-2023 12:02:48,153
28-May-2023 12:01:11,156
26-May-2023 12:00:55,176
25-May-2023 12:39:40,176.937
24-May-2023 13:14:28,225
23-May-2023 13:26:30,142
22-May-2023 12:01:56,152
20-May-2023 09:45:16,135
19-May-2023 13:10:01,149
18-May-2023 14:45:43,188
17-May-2023 14:13:24,154
16-May-2023 11:30:42,137
16-May-2023 11:26:49,173
14-May-2023 13:43:21,156
14-May-2023 13:36:51,290
14-May-2023 13:32:53,199
9-May-2023 11:36:53,184
8-May-2023 14:25:50,184
7-May-2023 11:29:49,178
7-May-2023 11:22:54,170
5-May-2023 12:56:27,149
4-May-2023 13:02:38,180.163
3-May-2023 11:32:27,180.206
2-May-2023 14:05:56,218.283
1-May-2023 13:28:20,150.172
30-Apr-2023 13:25:13,184
30-Apr-2023 13:19:16,153
28-Apr-2023 11:44:21,132,S
27-Apr-2023 14:38:27,157
26-Apr-2023 09:10:05,183
25-Apr-2023 12:28:15,173
24-Apr-2023 13:09:46,215
23-Apr-2023 13:14:49,184
23-Apr-2023 13:08:32,197
21-Apr-2023 12:29:28,193
20-Apr-2023 14:03:23,161
19-Apr-2023 13:56:26,167
18-Apr-2023 14:04:20,185
17-Apr-2023 13:33:36,156
16-Apr-2023 13:25:52,160
16-Apr-2023 13:17:51,162
14-Apr-2023 12:49:21,147.117
13-Apr-2023 11:38:42,136
13-Apr-2023 11:36:48,134
11-Apr-2023 13:05:09,140
10-Apr-2023 12:20:27,197
10-Apr-2023 10:54:09,105
9-Apr-2023 14:53:19,128
8-Apr-2023 14:07:37,141
8-Apr-2023 14:03:23,151
7-Apr-2023 14:08:12,148
7-Apr-2023 14:03:04,259
4-Apr-2023 13:56:40,123.086
3-Apr-2023 14:08:30,156.552
2-Apr-2023 13:50:06,139
2-Apr-2023 11:38:46,206
29-Mar-2023 13:44:07,179
28-Mar-2023 12:54:07,155
27-Mar-2023 13:01:53,98
26-Mar-2023 14:25:50,347
26-Mar-2023 14:10:00,169
24-Mar-2023 12:53:14,180
23-Mar-2023 13:30:23,157
22-Mar-2023 13:21:49,185
21-Mar-2023 13:29:52,197
20-Mar-2023 13:13:02,270
19-Mar-2023 14:21:58,262
19-Mar-2023 14:14:55,295
17-Mar-2023 13:19:20,180
16-Mar-2023 14:05:30,273
15-Mar-2023 13:43:40,225
14-Mar-2023 14:20:31,295
13-Mar-2023 13:35:03,100
12-Mar-2023 14:09:25,168
12-Mar-2023 13:57:31,183
12-Mar-2023 13:46:45,102
9-Mar-2023 13:16:45,135
8-Mar-2023 13:40:07,253
6-Mar-2023 12:17:49,140
